datetime,count
2011-01-20 00:00:00,2033.042017422338
2011-01-20 01:00:00,2034.1004849619248
2011-01-20 02:00:00,2034.1004849619248
2011-01-20 03:00:00,2035.1535958731831
2011-01-20 04:00:00,2035.1535958731831
2011-01-20 05:00:00,2031.0001964455003
2011-01-20 06:00:00,2030.1393739745895
2011-01-20 07:00:00,2032.0374604073677
2011-01-20 08:00:00,2030.3353380162469
2011-01-20 09:00:00,2035.2635870677273
2011-01-20 10:00:00,2037.6084956809445
2011-01-20 11:00:00,2040.1276265543245
2011-01-20 12:00:00,2040.5122775690095
2011-01-20 13:00:00,2040.1639790179493
2011-01-20 14:00:00,2042.1076351826323
2011-01-20 15:00:00,2042.3513519994985
2011-01-20 16:00:00,2040.5998181885077
2011-01-20 17:00:00,2040.710331802966
2011-01-20 18:00:00,2035.187445684856
2011-01-20 19:00:00,2033.2988211794066
2011-01-20 20:00:00,2032.769556481104
2011-01-20 21:00:00,2032.0852375419215
2011-01-20 22:00:00,2030.3518192011513
2011-01-20 23:00:00,2030.4658261036193
2011-01-21 00:00:00,2031.883564056963
2011-01-21 01:00:00,2031.883564056963
2011-01-21 02:00:00,2036.7898185264557
2011-01-21 03:00:00,2033.83962930995
2011-01-21 04:00:00,2036.5208997636119
2011-01-21 05:00:00,2029.2548535566511
2011-01-21 06:00:00,2031.4385976051988
2011-01-21 07:00:00,2030.8039103153965
2011-01-21 08:00:00,2035.8382078817217
2011-01-21 09:00:00,2032.8094949115884
2011-01-21 10:00:00,2036.125622312461
2011-01-21 11:00:00,2036.1025701697229
2011-01-21 12:00:00,2037.72153462409
2011-01-21 13:00:00,2035.575261072594
2011-01-21 14:00:00,2032.1953860795152
2011-01-21 15:00:00,2032.1097356189737
2011-01-21 16:00:00,2033.2125916217342
2011-01-21 17:00:00,2032.0830661308466
2011-01-21 18:00:00,2034.181456941933
2011-01-21 19:00:00,2038.8242738917568
2011-01-21 20:00:00,2030.2178275534734
2011-01-21 21:00:00,2024.6137303389078
2011-01-21 22:00:00,2020.7950474150482
2011-01-21 23:00:00,2021.9755090811414
